262181	06/01/2015	SECRETARIA DE ENERGIA	5378067	06/01/2015	NOM-007-NUCL-2014	Respuesta a los comentarios recibidos durante el proceso de consulta pública del Proyecto de Modificación a la Norma Oficial Mexicana PROY-NOM-007-NUCL-2014, Requerimientos de seguridad radiológica que deben ser observados en los implantes permanentes de material radiactivo con fines terapéuticos a seres humanos, publicado el 27 de junio de 2014	http://diariooficial.gob.mx/nota_detalle.php?codigo=5378067&fecha=06/01/2015
262181	06/01/2015	SECRETARIA DEL TRABAJO Y PREVISION SOCIAL	5378090	06/01/2015	NOM-022- STPS-2008	Proyecto de Modificación de la Norma Oficial Mexicana NOM-022- STPS-2008, Electricidad estática en los centros de trabajo-Condiciones de seguridad	http://diariooficial.gob.mx/nota_detalle.php?codigo=5378090&fecha=06/01/2015
262161	05/01/2015	SECRETARIA DE ECONOMIA	5378010	05/01/2015	NOM-193-SCFI-2014	Norma Oficial Mexicana NOM-193-SCFI-2014, Crema-Denominaciones, especificaciones, información comercial y métodos de prueba	http://diariooficial.gob.mx/nota_detalle.php?codigo=5378010&fecha=05/01/2015
262081	30/12/2014	SECRETARIA DE AGRICULTURA, GANADERIA, DESARROLLO RURAL, PESCA Y ALIMENTACION	5377692	30/12/2014	NOM-001-SAG	Norma Oficial Mexicana NOM-001-SAG/BIO-2014, Especificaciones generales de etiquetado de organismos genéticamente modificados que sean semillas o material vegetativo destinados a siembra, cultivo y producción agrícola	http://diariooficial.gob.mx/nota_detalle.php?codigo=5377692&fecha=30/12/2014
262061	29/12/2014	SECRETARIA DE SALUD	5377616	29/12/2014	NOM-229-SSA1-2002	Modificación de los numerales 2, 3.1, 3.2, 3.30, 6.3.2.2 y 17.4; eliminación de los numerales 6.2.1.4, 6.2.1.5, 6.2.1.8, 6.2.2.3.2, 6.2.2.3.3, 6.3.2.1.5, 6.3.2.4 y 7.2.8; y adición de los numerales 6.3.2.6 y 6.3.2.7 de la Norma Oficial Mexicana NOM-229-SSA1-2002, Salud ambiental. Requisitos técnicos para las instalaciones, responsabilidades sanitarias, especificaciones técnicas para los equipos y protección radiológica en establecimientos de diagnóstico médico con Rayos   X	http://diariooficial.gob.mx/nota_detalle.php?codigo=5377616&fecha=29/12/2014
262001	26/12/2014	SECRETARIA DE AGRICULTURA, GANADERIA, DESARROLLO RURAL, PESCA Y ALIMENTACION	5377400	26/12/2014	NOM-012-SAG	Norma Oficial Mexicana NOM-012-SAG/PESC-2014, Para regular el aprovechamiento de los recursos pesqueros en el embalse de la presa El Cuchillo-Solidaridad, ubicada en el Municipio de China, N.L.	http://diariooficial.gob.mx/nota_detalle.php?codigo=5377400&fecha=26/12/2014
262001	26/12/2014	SECRETARIA DE AGRICULTURA, GANADERIA, DESARROLLO RURAL, PESCA Y ALIMENTACION	5377401	26/12/2014	NOM-035-SAG	Norma Oficial Mexicana NOM-035-SAG/PESC-2014, Pesca   responsable en el embalse de la presa José S. Noriega (Vaquerías o Mimbres), ubicada en el Estado de Nuevo León. Especificaciones para el aprovechamiento de los recursos pesqueros	http://diariooficial.gob.mx/nota_detalle.php?codigo=5377401&fecha=26/12/2014
262001	26/12/2014	SECRETARIA DE AGRICULTURA, GANADERIA, DESARROLLO RURAL, PESCA Y ALIMENTACION	5377402	26/12/2014	NOM- 032-PESC-2003	Proyecto de Modificación a la Norma Oficial Mexicana NOM- 032-PESC-2003, Pesca responsable en el Lago de Chapala, ubicado en los estados de Jalisco y Michoacán. Especificaciones para el aprovechamiento de los recursos pesqueros	http://diariooficial.gob.mx/nota_detalle.php?codigo=5377402&fecha=26/12/2014
261981	24/12/2014	SECRETARIA DE ENERGIA	5377252	24/12/2014	NOM-025	Proyecto de Modificación a la Norma Oficial Mexicana NOM-025/2- NUCL-1996, Requisitos para equipo de radiografía industrial. Parte 2: Operación	http://diariooficial.gob.mx/nota_detalle.php?codigo=5377252&fecha=24/12/2014
261981	24/12/2014	SECRETARIA DEL TRABAJO Y PREVISION SOCIAL	5377263	24/12/2014	NOM-024-STPS-2001	Procedimiento alternativo autorizado por la Secretaría del Trabajo y Previsión Social para la Norma Oficial Mexicana NOM-024-STPS-2001, Vibraciones-Condiciones de seguridad e higiene en los centros de trabajo	http://diariooficial.gob.mx/nota_detalle.php?codigo=5377263&fecha=24/12/2014
