262181	06/01/2015	matutina	PRIMERA	PODER EJECUTIVO	SECRETARIA DE ENERGIA	5378067	06/01/2015	Respuesta a los comentarios recibidos durante el proceso de consulta p&uacute;blica del Proyecto de Modificaci&oacute;n a la Norma Oficial Mexicana PROY-NOM-007-NUCL-2014, Requerimientos de seguridad radiol&oacute;gica que deben ser observados en los implantes permanentes de material radiactivo con fines terap&eacute;uticos a seres humanos, publicado el 27 de junio de 2014	http://diariooficial.gob.mx/nota_detalle.php?codigo=5378067&fecha=06/01/2015
262181	06/01/2015	matutina	TERCERA	PODER EJECUTIVO	SECRETARIA DEL TRABAJO Y PREVISION SOCIAL	5378090	06/01/2015	Proyecto de Modificaci&oacute;n de la Norma Oficial Mexicana NOM-022- STPS-2008, Electricidad est&aacute;tica en los centros de trabajo-Condiciones de seguridad	http://diariooficial.gob.mx/nota_detalle.php?codigo=5378090&fecha=06/01/2015
262161	05/01/2015	matutina	PRIMERA	PODER EJECUTIVO	SECRETARIA DE ECONOMIA	5378010	05/01/2015	Norma Oficial Mexicana NOM-193-SCFI-2014, Crema-Denominaciones, especificaciones, informaci&oacute;n comercial y m&eacute;todos de prueba	http://diariooficial.gob.mx/nota_detalle.php?codigo=5378010&fecha=05/01/2015
262081	30/12/2014	matutina	PRIMERA	PODER EJECUTIVO	SECRETARIA DE AGRICULTURA, GANADERIA, DESARROLLO RURAL, PESCA Y ALIMENTACION	5377692	30/12/2014	Norma Oficial Mexicana NOM-001-SAG/BIO-2014, Especificaciones generales de etiquetado de organismos gen&eacute;ticamente modificados que sean semillas o material vegetativo destinados a siembra, cultivo y producci&oacute;n agr&iacute;cola	http://diariooficial.gob.mx/nota_detalle.php?codigo=5377692&fecha=30/12/2014
262061	29/12/2014	matutina	SEXTA	PODER EJECUTIVO	SECRETARIA DE SALUD	5377616	29/12/2014	Modificaci&oacute;n de los numerales 2, 3.1, 3.2, 3.30, 6.3.2.2 y 17.4; eliminaci&oacute;n de los numerales 6.2.1.4, 6.2.1.5, 6.2.1.8, 6.2.2.3.2, 6.2.2.3.3, 6.3.2.1.5, 6.3.2.4 y 7.2.8; y adici&oacute;n de los numerales 6.3.2.6 y 6.3.2.7 de la Norma Oficial Mexicana NOM-229-SSA1-2002, Salud ambiental. Requisitos t&eacute;cnicos para las instalaciones, responsabilidades sanitarias, especificaciones t&eacute;cnicas para los equipos y protecci&oacute;n radiol&oacute;gica en establecimientos de diagn&oacute;stico m&eacute;dico con Rayos   X	http://diariooficial.gob.mx/nota_detalle.php?codigo=5377616&fecha=29/12/2014
262001	26/12/2014	matutina	SEGUNDA	PODER EJECUTIVO	SECRETARIA DE AGRICULTURA, GANADERIA, DESARROLLO RURAL, PESCA Y ALIMENTACION	5377400	26/12/2014	Norma Oficial Mexicana NOM-012-SAG/PESC-2014, Para regular el aprovechamiento de los recursos pesqueros en el embalse de la presa El Cuchillo-Solidaridad, ubicada en el Municipio de China, N.L.	http://diariooficial.gob.mx/nota_detalle.php?codigo=5377400&fecha=26/12/2014
262001	26/12/2014	matutina	SEGUNDA	PODER EJECUTIVO	SECRETARIA DE AGRICULTURA, GANADERIA, DESARROLLO RURAL, PESCA Y ALIMENTACION	5377401	26/12/2014	Norma Oficial Mexicana NOM-035-SAG/PESC-2014, Pesca   responsable en el embalse de la presa Jos&eacute; S. Noriega (Vaquer&iacute;as o Mimbres), ubicada en el Estado de Nuevo Le&oacute;n. Especificaciones para el aprovechamiento de los recursos pesqueros	http://diariooficial.gob.mx/nota_detalle.php?codigo=5377401&fecha=26/12/2014
262001	26/12/2014	matutina	SEGUNDA	PODER EJECUTIVO	SECRETARIA DE AGRICULTURA, GANADERIA, DESARROLLO RURAL, PESCA Y ALIMENTACION	5377402	26/12/2014	Proyecto de Modificaci&oacute;n a la Norma Oficial Mexicana NOM- 032-PESC-2003, Pesca responsable en el Lago de Chapala, ubicado en los estados de Jalisco y Michoac&aacute;n. Especificaciones para el aprovechamiento de los recursos pesqueros	http://diariooficial.gob.mx/nota_detalle.php?codigo=5377402&fecha=26/12/2014
261981	24/12/2014	matutina	PRIMERA	PODER EJECUTIVO	SECRETARIA DE ENERGIA	5377252	24/12/2014	Proyecto de Modificaci&oacute;n a la Norma Oficial Mexicana NOM-025/2- NUCL-1996, Requisitos para equipo de radiograf&iacute;a industrial. Parte 2: Operaci&oacute;n	http://diariooficial.gob.mx/nota_detalle.php?codigo=5377252&fecha=24/12/2014
261981	24/12/2014	matutina	SEGUNDA	PODER EJECUTIVO	SECRETARIA DEL TRABAJO Y PREVISION SOCIAL	5377263	24/12/2014	Procedimiento alternativo autorizado por la Secretar&iacute;a del Trabajo y Previsi&oacute;n Social para la Norma Oficial Mexicana NOM-024-STPS-2001, Vibraciones-Condiciones de seguridad e higiene en los centros de trabajo	http://diariooficial.gob.mx/nota_detalle.php?codigo=5377263&fecha=24/12/2014
